epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,82.3268,0.90036,0.6633,1.14933,0.7828,0.34559,0.43257,0.22628,2.03894,1.64568,2.91887,0.000404375,0.000404375,0.000404375
43,84.6811,0.89408,0.659,1.15587,0.78918,0.36029,0.41274,0.22413,2.03268,1.5527,2.94956,0.00038375,0.00038375,0.00038375
44,86.3444,0.86919,0.62005,1.10786,0.82182,0.34213,0.5211,0.2928,2.01104,1.38131,2.88185,0.000363125,0.000363125,0.000363125
45,88.0394,0.87417,0.57234,1.15816,0.58852,0.60655,0.62235,0.3824,1.99139,1.30378,2.70925,0.0003425,0.0003425,0.0003425
46,89.7731,0.86678,0.59349,1.13732,0.6392,0.59237,0.62054,0.37178,2.04655,1.37196,2.74183,0.000321875,0.000321875,0.000321875
47,91.5204,0.76582,0.55694,1.08118,0.65404,0.62037,0.50728,0.27373,2.06267,1.39534,2.78516,0.00030125,0.00030125,0.00030125
48,93.2219,0.76787,0.55263,1.08721,0.65977,0.625,0.49516,0.26922,2.02471,1.39292,2.70412,0.000280625,0.000280625,0.000280625
49,95.2453,0.8206,0.58408,1.12237,0.67728,0.625,0.49582,0.2758,1.9919,1.40214,2.65302,0.00026,0.00026,0.00026
50,97.6148,0.82969,0.56884,1.1617,0.69089,0.625,0.50243,0.24858,1.99959,1.37862,2.67675,0.000239375,0.000239375,0.000239375
51,102.264,0.76986,0.59006,1.08285,0.71284,0.625,0.45753,0.24746,1.97868,1.29888,2.63739,0.00021875,0.00021875,0.00021875
52,105.305,0.78282,0.58422,1.10355,0.41317,0.70988,0.58844,0.3267,1.96841,1.1255,2.57873,0.000198125,0.000198125,0.000198125
53,107.177,0.76384,0.51993,1.03318,0.5114,0.85852,0.71314,0.45805,1.94869,1.09333,2.48043,0.0001775,0.0001775,0.0001775
54,109.5,0.64951,0.43514,1.00247,0.45836,0.83823,0.71336,0.45883,1.95848,1.00146,2.48556,0.000156875,0.000156875,0.000156875
55,111.658,0.72326,0.50001,1.09817,0.77803,0.75,0.71504,0.45779,1.98416,1.00383,2.54546,0.00013625,0.00013625,0.00013625
56,113.266,0.663,0.45388,1.04674,0.83313,0.75,0.75629,0.46819,2.01729,0.94504,2.60036,0.000115625,0.000115625,0.000115625
57,114.95,0.60914,0.45918,0.97758,0.83333,0.75,0.75727,0.46861,1.99299,0.94241,2.56798,9.5e-05,9.5e-05,9.5e-05
58,116.6,0.63734,0.4772,0.97636,0.80009,0.75,0.7581,0.47677,1.97592,0.91839,2.54967,7.4375e-05,7.4375e-05,7.4375e-05
59,118.353,0.59649,0.41807,1.00465,0.49172,0.84821,0.75969,0.45283,1.97092,0.96033,2.54718,5.375e-05,5.375e-05,5.375e-05
60,120.214,0.58859,0.42845,0.96694,0.51136,0.8506,0.7595,0.45023,1.97369,0.99964,2.55271,3.3125e-05,3.3125e-05,3.3125e-05
